kuzuryu_name,lat,lon,address,inscription
葛袋の九頭龍大神碑,36.022856,139.376578,東松山市葛袋,(裏面)令和元年東日本台風により平成十一年に修復した御宮が損壊した　川北地区の安寧を願い石碑を建立する　令和二年十月吉日建立　川北地区一同　施工（有）安藤石材工業
悪戸の九頭龍大神,36.014037,139.38946,東松山市西本宿１４７４−１,九頭龍大神　(裏面)悪戸中　明治二己已孟夏
上押垂おっぽり沼の九頭龍大神碑,36.017353,139.395989,東松山市上押垂２２７−３,（正面）上押垂　下青鳥　九頭龍大神　明治四十三年 七十九翁口武書　九月二十一日 宮下石材店　明治四十三年九月二十一日
早俣の九頭龍大神,36.007338,139.411772,東松山市大字早俣地内,□時　文政元戌寅□十一月吉日 武州早又村　世話人　林庄右衛門 千代田□兵衛　松本□七
長楽早俣橋北の九頭龍大権現碑,36.002925,139.42488,埼玉県比企郡川島町長楽,(右)慶應二年八月　 (左)施主 長楽村中
島田の九頭龍神社碑,35.984992,139.407127,埼玉県坂戸市島田,（正面）九頭龍神社　（裏面）明治四十四年八月字島田　　（台座文字）昭和四拾九年七月吉日 台座奉納 中島登志雄ほか3名の名前
白山神社の九頭龍大権現祠 2,35.995573,139.430837,坂戸市赤尾１６６８,嘉永六年□丑年四月吉日建之　赤尾村中
白山神社の九頭龍大権現祠 1,35.995608,139.430713,坂戸市赤尾１６６８,（右側面）嘉永六年□丑六月吉日 （正面）九頭龍大権現 （左側面）赤尾村中
「伊草の渡し」水防倉庫裏の九頭龍大権現碑,35.964558,139.465215,埼玉県比企郡川島町下伊草,明治四十三年八月十日破堤　明治四十五年四月吉日建立」　発起人(桺川久平ほか５名の銘あり）
「伊草の渡し」近傍の九頭龍大権現碑,35.961597,139.469703,埼玉県比企郡川島町下伊草,明治四十三年八月十日破堤　明治四十五年四月吉日建立」　発起人(新井留作ほか５名の銘あり
上吉田の九頭龍神社祠,35.979153,139.392153,埼玉県坂戸市上吉田,（右側面）「明治十二年卯五月　創建　当所　馬橋鶴次郎」（正面）九頭龍神社　（左側面）「社祠　松本正治」
北大塚の九頭龍神社碑,35.95387,139.367737,埼玉県坂戸市北大塚,（右側面）明治九年夏六月　（正面）九頭龍神社　（左側面）入間郡大塚村