name,lat,lon,type,year,size,address,inscription,coordinates_dd,Survey_date,Condition comment,Condition level ,photo_filename,flood_related,belief_function,belief_function_sub,belief_function_note,relocated,relocation_note,zone
手島の水天宮碑,36.124283,139.387287,water,1977年,高さ85cm 幅60cm 厚10cm,熊谷市手島,昭和五十二年三月吉日建之　大字手島氏子一同,"36.124283, 139.387287",2025年3月2日,手島神社境内にある「水天宮」石碑。状態はとてもよい。特に表面の文字ははっきり見える。,★★★★★,tejima_suitengu_monument.jpg,,,,,,,b
明秋神社境内の水神宮碑,36.05742,139.480485,water,1810年,高さ60cm 幅30cm 厚18cm,埼玉県比企郡吉見町明秋510 　明秋神社境内,文化七　十二月吉日　願主　巣殿谷,"36.05742, 139.480485",2025年3月2日,笠上部に若干の地衣類付着以外、目立った劣化は見られない。,★★★★☆,myosyu_shrine_suijingu.jpg,,,,,,,b
明秋神社の水神大神,36.057373,139.48043,water,1915年,高さ52cm 幅 29cm 厚 - cm,埼玉県比企郡吉見町明秋510 　明秋神社境内,願主　宮崎由三？,"36.057373, 139.48043",2025年3月2日,木の根元に隠れてしまっている。側面に若干の地衣類。大正四年（1915）三月建立,★★★★☆,myosyu_shrine_suijinokami.jpg,,,,,,,b
高本高城神社の水神宮碑,36.100362,139.405692,water,-,高さ60cm 幅40cm 厚7cm,熊谷市高本562　高城神社境内,-,"36.100362, 139.405692",2025年3月2日,層状になった濃いめの地衣類付着も表面の刻まれた文字ははっきり見える。水が流れたような跡あり。「大里村の石佛」に記載。遷座された石碑が並ぶ(うち瀧祭神社祠の祭神は瀬織津姫と思われる),★★☆☆☆,takagi_shrine_sujingu.jpg,,,,,,,b
吉見町江和井の水神宮碑,36.019682,139.498238,water,1802年,高さ69cm 幅34cm 厚20cm,吉見町江和井,(右)享和二戌年六月吉日　(左)江川、大和谷、⬜︎井、久保田、下細谷　新田,"36.019682, 139.498238",2025年3月8日,(□井　→荒井) 笠部分に黒ずみと分厚い地衣類。表面に若干の地衣類、台座にオレンジの地衣類。洪水常襲地帯。堤防下に注連竹で囲まれ祀られている。,★★☆☆☆,ewai_suijingu.jpg,,,,,,,b
高尾橋、左の水神宮碑(昭和9年),36.026813,139.505488,water,1934年,高さ74cm 幅35cm 厚6cm,北本市高尾,"(裏面)
河岸水神講中
昭和九年三月吉日
発起者　新井米八　□沼亀吉 
世話人　田島太郎　新井勘次　天沼榮之助

(右)、(左)側面には銘文なし","36.026813, 139.505488",2025年3月8日,側面から裏面にかけて地衣類付着。明治の水害を経験。注連竹で祀られる。JAさいたま広報誌2024年6月号表紙、特集技師にも。,★★★★☆,takao_bridge_suijingu(left).jpg,,,,,,,b
高尾橋、右の水神宮碑(昭和42年),36.026798,139.505492,water,1967年,高さ55cm 幅20cm 厚15cm,北本市高尾,"(右)昭和四十二年七月吉日
(左)判別不能","36.026798, 139.505492",2025年3月8日,比較的新しいはずだが各所に剥落あり。刻まれた文字ははっきり見える。,★★★★☆,takao_bridge_suijingu(right).jpg,,,,,,,b
冠水橋架設祈念碑よこの水神宮碑,36.042628,139.506388,water,1932年,高さ110cm 幅55cm 厚10cm,鴻巣市滝馬室,架橋竣成昭和七年五月廿六？日　神宮祭祀　昭和十二年一月十五日　発起人　金子善太郎他19人の名前,"36.042628, 139.506388",2025年3月8日,黄色い地衣類に覆われているが正面に刻まれた文字は鮮明である。道の先には冠水橋（沈下橋）である原馬室橋が位置している。,★★★★☆,flooding_bridge_takimamuro_suijingu.jpg,,,,,,,b
小谷の水神碑,36.079953,139.464783,water,1895年,高さ70cm 幅42cm 厚10cm,吹上町小谷,明治廿八年三月十七日　堤根側氏子中,"36.079953, 139.464783",2025年3月14日,表面が焼けたかのような色になっている。裏面の文字は鮮明。,★★★☆☆,koya_suijin.jpg,,,,,,,b
久下八幡神社の水神宮碑,36.107233,139.436598,water,1856年,高さ67cm 幅29cm 厚11cm,熊谷市久下,(左側面)安政三⬜︎年六月吉日　(裏面)江川村,"36.107233, 139.436598",2025年3月14日,2018年頃には亀裂部分から分離していた記録写真ががあるが、調査日には修復されていた。亀裂より下半分は地衣類多く付着。,★★★☆☆,kuge_hachimangu_suijingu.jpg,,,,,,,b
飯島新田の水神宮碑,36.023975,139.481125,water,1807年,高さ52cm 幅20cm 厚11cm,吉見町飯島新田,(左)飯島新田願主　江森新五郎　(右)文化四甲子歳正月吉日,"36.023975, 139.481125",2025年3月23日,洪水常襲地帯。銘文中「文□四(のこりは判別不能)」正面風化、亀裂、地衣類少し付着。側面の文字は判読可能,★★☆☆☆,iijima_shinden_suijingu.jpg,,,,,,,b
馬能堂荒工稲荷境内の水天宮碑,35.887497,139.557457,water,1894年,高さ90cm 幅73cm 厚9cm,さいたま市西区飯田新田２５２,(裏面)明治二十七年九月吉日建立　北足立郡馬宮村大字飯田新田　発企人岡田由之じょう　世話人3人の名前　台座に大字植田谷本村新田6人　大字二ツ宮3人　大字西遊馬1人　大字大宮1人　入間郡東大久保2人　同郡南畑3人,"35.887497, 139.557457",2025年3月23日,台座50cm 稲荷大明神境内の、水天宮。正面に地衣類付着も裏面は少ない。,★★★★☆,arako_sujtengu.jpg,,,,,,,c
畔吉諏訪神社境内、左の水神宮碑,35.964945,139.547833,water,1843年,高さ58cm 幅24cm 厚12cm,上尾市大字畔吉835　諏訪神社境内,天保十四卯九月吉日　(表面)水神⬜︎ (右側面)願主井原□,"35.964945, 139.547833",2025年3月26日,【要再調査】「水神□」は判別可能だが「宮」の文字は判別不可。右側面上部地衣類付着。亀裂、剥落激しい。,★☆☆☆☆,azeyoshi_suwa_shrine_suijingu(left).jpg,,,,,,,b
畔吉諏訪神社境内、右の水神宮碑,35.96492,139.547702,water,1793年,高さ98cm 幅38cm 厚28cm,上尾市大字畔吉835　諏訪神社境内,(右側面)寛政五癸丑年六月吉日　(左側面)施主畔吉村中,"35.96492, 139.547702",2025年3月26日,一見すると状態は良さそうだが黒ずんだ箇所が点々と見られる。左側面に欠損部あり。笠部に地衣類。,★★★☆☆,azeyoshi_suwa_shrine_suijingu(right).jpg,,,,,,,b
橘樹神社境内の水神宮碑,35.945048,139.549255,water,1843年,高さ85cm 幅55cm 厚52cm,上尾市平方2124　橘樹神社境内,(右)寛政五癸丑年正月吉日,"35.945048, 139.549255",2025年3月26日,”平方村河岸出入商人衆奉納の石祠”のとなり、覆屋内3基中、一番左が水神宮。御幣で見えにくいが「宮」の字が見える。台座高さ55。埃をかぶっているのみで地衣類は見当たらない。附近に平方河岸があった。,★★★★★,tachibana_shrine_suijingu.jpg,,,,,,,b
西遊馬の水神宮碑,35.907517,139.560207,water,1865年,高さ130cm 幅37cm 厚27cm,さいたま市西区西遊馬,慶應一丁卯歳秋九月吉日　遊馬村中,"35.907517, 139.560207",2025年3月26日,表面上部黒ずみあり、地衣類は正面と右側面ともに多数。指扇駅ちかくの水神碑と、字体が似ている。さいたま市の市史では明治の水害を経験。,★★★★☆,nisi_asuma_sujingu.jpg,,,,,,,c
指扇駅ちかくの水神宮碑(陽眠眞),35.915683,139.562122,water,1867年,高さ75cm 幅59cm 厚57cm,さいたま市西区西遊馬,(表面)「水神宮」「陽眠眞」(右)慶應三丁卯歳九月吉日(左)遊馬村中　他,"35.915683, 139.562122",2025年3月26日,台座との境界に黒ずみがあるが、クリーニングされている。,★★★★★,sashiogi_station_suijingu.jpg,,,,,,,c
権田薬師堂となりの水天宮碑,36.01206,139.505627,water,1799年,高さ60cm 幅40cm 厚24cm,北本市石戸宿８丁目,(左側面)願主横田⬜︎⬜︎村中　寛政十一己未六月吉日,"36.01206, 139.505627",2025年3月26日,台座20cm 、多少はあるものの地衣類の付着少ない。表面の文字しっかりしていて読める,★★★★★,gonda_yakushido_suitengu.jpg,,,,,,,b
下大屋敷の水天宮碑,35.956313,139.515705,water,1912年,高さ80cm 幅70cm 厚13cm,埼玉県比企郡川島町下大屋敷,(裏面)発起人岩田仁助他4人 世話人土橋渡船場　明治四十五年六月五日建立　昭和二年三月再建(次に続く文字は判別できない),"35.956313, 139.515705",2025年3月31日,土台高さ32cm 表面剥落激しく、剥がれた破片が下に落ち、早急に対策すべき。表面右に地衣類、裏面は地衣類大量。2019年台風19号で水没。,★★☆☆☆,simo_oyashiki_suitengu.jpg,,,,,,,b
入間川堤内地の水神宮碑,35.929838,139.535092,water,,高さcm 幅cm 厚cm,川越市下老袋,,"35.929838, 139.535092",2025年3月31日,右側に地衣類付着。古い。自然石で、風化があるが刻まれた文字は鮮明。銘文等確認できない。,★★☆☆☆,Iruma_river_outside_suijingu.jpg,,,,,,,b
彩湖へらぶな供養塔隣の水神宮碑,35.82715,139.630667,water,-,高さ80cm 幅22.5cm 厚12cm,戸田市美女木,"(右、銘は月日のみ判読)
(台座正面)西 引又ミち二リ
(同右)北 うらわ一リ 東土手 わらび一リ","35.82715, 139.630667",2025年4月4日,荒川の中でも風化、摩耗などトップレベルで激しく状態評価を付けることができない。彩湖は洪水時に貯水池となり水没している。,☆☆☆☆☆,lake_saiko_herabuna_suijingu.jpg,,,,,,,c
彩湖　天保四年の水神宮碑,35.827385,139.623722,water,1833年,高さ25cm 幅16cm 厚14cm,戸田市重瀬,(右側面)天保四年巳十月吉□　(左側面)寿三郎　依田平五郎,"35.827385, 139.623722",2025年4月4日,彩湖は洪水時に完全に水没するが石碑の状態が悪いわけではなく、文字は鮮明に見える。左上部などに亀裂、右に欠損あり。供え物多数。,★★★★☆,lake_saiko_submerged_suijingu.jpg,,,,,,,c
彩湖　道満の水神宮碑,35.824377,139.634953,water,1834年,高さ50cm 幅21cm 厚15cm,戸田市美女木7丁目19,(左側面)天保五午七月吉日 (表面)水神宮　道満中,"35.824377, 139.634953",2025年4月4日,台座に黄色の地衣類。笹目川に注ぐ揚水と彩湖堤防の間に位置する。,★★★☆☆,lake_saiko_doman_suijingu.jpg,,,,,,,c
下内間木氷川神社境内、左奥の水神宮碑,35.815568,139.6173,water,1920年,高さ50cm 幅24cm 厚17cm,朝霞市下内間木36　下内間木神社境内,(右側面)昭和十一年一月七日下内間木中伊藤並郎他四名　(塔身)大正九年荒川改良工事有　當字依之多年水害地一変美田成喧戦水神当時上打間木地内出現三轉,"35.815568, 139.6173",2025年4月7日,昭和五十八年三月三日改修。美麗。旧地は荒川堤防上にあり、文政三年二月の記年の銘あり。,★★★★★,shimouchimagi_hikawa_shrine_suijingu(back).jpg,,,,,,,c
下内間木氷川神社境内、左手前の水天宮碑,35.815553,139.617325,water,1655年,高さ38cm 幅22cm 厚12cm,朝霞市下内間木36　下内間木神社境内,(正面)水天宮　(裏面)明暦元乙未　出船八九舟建之　下内間木　蕪木氏,"35.815553, 139.617325",2025年4月7日,調査中、最古の水神碑碑。裏面文字は判別不可も「朝霞市史調査報告書 第9集 (朝霞の石造物 1)」より判明。,★★☆☆☆,shimouchimagi_hikawa_shrine_suijingu(front).jpg,,,,,,,c
早瀬の渡し水神宮碑,35.795962,139.649557,water,1821年,高さ113cm 幅50cm 厚21cm,板橋区新河岸３丁目８−８,(表面)水神宮 (裏面)くずし字で「以怒留頃乃川久仁比所能 水神乃洞流亡春文政 依川農年巳小春再興 丹臨石工春日何某応乞 鈍筆丹石面越汚畢」。文政四年。安山岩小松石自然石型板状,"35.795962, 139.649557",2025年4月7日,新河岸公園内。下部、台座に地衣類付着。正面に剥落あり。裏面文字は「いたばしの文化財第2集」より。早瀬の渡しに祀られていた(平安期から早瀬の渡しがあった？)板橋区指定文化財。,★★★☆☆,sinkasi_park_suijingu.jpg,,,,,,,c
長瀞自然の博物館前の水神祠,36.088132,139.117738,water,1966年,高さcm 幅cm 厚cm,秩父郡長瀞町長瀞９４７ 月の石もみじ公園,昭和四十一年一月再建新井弥平,"36.088132, 139.117738",2025年4月9日,笠部地衣類付着。銘は長瀞町史民族編1 p.326より。祭神は弥都波能売神。舟下りの船頭たちの信仰。11月に祭典があり、すぐそばの水神の井戸についても言及されている。,★★★☆☆,nagatoro_natural_museum_suijin.jpg,,,,,,,a
金石水管橋下の水神宮碑,36.105328,139.112538,water,1868年,高さ170cm 幅80cm 厚10cm,長瀞町本野上,（正面）水神宮　松籟順拝書　（裏面）慶応四年 辰九月吉日旦　本野上村、岩田、藤谷渕、井戸の賛同者氏名多数,"36.105328, 139.112538",2025年4月9日,正面の地衣類付着について、その量は荒川トップクラスだが、正面、裏面とも刻まれた文字は鮮明。裏は崖で荒川が眼下に流れる。,★★☆☆☆,kanaishi_waterpipebridge_suijingu_1.jpg,,,,,,,a
畠山水神様,36.133032,139.276265,water,1810年,高さ123cm 幅48cm 厚33cm,深谷市畠山,（正面）水神塔 (正面右)文化七庚午　(正面左)畠山村,"36.133032, 139.276265",2025年4月9日,自然石。正面右側の文字は地衣類で判別困難も「文化」という文字が読み取れる。正面「水神塔」の文字は鮮明。川の漁師、筏師たちが水難よけに信仰したと伝えられる。,★★☆☆☆,hatakeyama_suijin.jpg,,,,,,,a
ふかや花園の水神碑,36.136627,139.244875,water,1901年,高さ68cm 幅38cm 厚6cm,深谷市永田,(裏面)明治三十四年五月　永田柳出井水下中,"36.136627, 139.244875",2025年4月9日,正面に、金属のさびのような黄色く細かい地衣類付着。柳出井池のほとりに建立。,★★★☆☆,fukaya_hanazono_suijin.jpg,,,,,,,a
長瀞春日神社の水神宮碑,36.09484,139.11636,water,不明,高さ60cm 幅42cm 厚25cm,秩父郡長瀞町井戸1222番　春日神社境内,銘なし,"36.09484, 139.11636",2025年4月12日,剥落はなく風化よりは地衣類付着のために正面の文字判別困難。左上部に濃い地衣類。不心得者に崖下に落とされたことも。,★★☆☆☆,nagatoro_kasuga_shrine_suijingu.jpg,,,,,,,a
蓬莱島の水神宮碑,36.104205,139.113153,water,1955年,高さ100cm 幅120cm 厚10cm,長瀞町井戸　蓬莱島公園内,昭和三十年七月五日　風布区一同　石工中川吉三,"36.104205, 139.113153",2025年4月12日,正面下部コケ付着。右側亀裂。裏面銘文は強いライトをあてて初めて判別可能となった。,★★★☆☆,horaijima_suijingu.jpg,,,,,,,a
矢那瀬地区川面の水神様,36.13001,139.14644,water,1847年,高さ77cm 幅40cm 厚46cm,長瀞町矢那瀬,弘化四年未年十二月吉日　(左)矢那瀬村鮎梁連中,"36.13001, 139.14644",2025年4月17日,笠部地、台座衣類付着、祠正面、左右側面中程度の剥落あり。側面の装飾に花は珍しい。,★★★☆☆,yanase_suijin.jpg,,,,,,,a
本田吉野川の水神碑,36.131148,139.2987,water,1903年,高さ123cm 幅99cm 厚14cm,川本町本田(現深谷市本田),表面「水神」明治三十六年十月,"36.131148, 139.2987",2025年4月17日,正面、地衣類付着激しい方か。裏はすぐ本田吉野川。,★★★☆☆,honda_yoshino_river_suijin.jpg,,,,,,,a
明戸八幡神社の水神碑,36.141453,139.305938,water,1870年,高さ85cm 幅25cm 厚11cm,深谷市川本明戸113,(裏面)明治三年庚午六月　明戸村7人の氏名,"36.141453, 139.305938",2025年4月17日,表面の地衣類付着著しい。早急に対策必要。判別不能ではないが「水神」の文字が読みにくい。裏面に欠け。2基の塞神碑の中央に位置。,★★☆☆☆,aketo_hachiman_shrine_suijin.jpg,,,,,,,a
鹿島古墳群となりの水神宮碑,36.134613,139.307867,water,1849年,高さ75cm 幅32cm 厚52cm,深谷市本田,(左側面)下本田講中　(右側面)嘉永二酉年十一月吉日,"36.134613, 139.307867",2025年4月17日,屋根部分に大きい亀裂、修理跡。正面剥落あり。向かって3基のうち、一番右。右隣に、同銘文の金比羅大権現碑。左には庚申塔供養塔。鹿島古墳群となり。,★★★☆☆,kasima_tumulus_suijingu.jpg,,,,,,,a
玉淀水天宮社,36.114312,139.20064,water,-,高さcm 幅cm 厚cm,埼玉県大里郡寄居町寄居７０３,-,"36.114312, 139.20064",2025年4月27日,,,tamayodo_suitengu.jpg,,,,,,,a
玉淀水天宮奥宮,36.114208,139.200653,water,,高さ110cm 幅50cm 厚70cm,埼玉県大里郡寄居町寄居,,"36.114208, 139.200653",2025年4月27日,地衣類付着少ない。急な斜面を降りていくと祠がある。台座に移設工事について銘がある。,★★★★☆,tamayodo_suitengu_okunoin.jpg,,,,,,,a
押切三峯神社となりの水神宮碑,36.134053,139.328075,water,1865年,高さ50cm 幅25cm 厚40cm,熊谷市押切,(右側面)慶應元□乙年　十一月吉日,"36.134053, 139.328075",2025年5月4日,笠部欠損、亀裂、剥落あり。正面に刻まれた文字は鮮明。押切橋ちかく。,★★★☆☆,oshikiri_mitsumine_suijingu.jpg,,,,,,,a
妙楽寺の水神宮碑,36.03753201,139.50781838,water,不明,高さ70cm 幅33cm 厚8cm,鴻巣市原馬室2965-2,銘なし[昭和六年？],"36.03753201,139.50781838",2025年5月8日,正面地衣類付着少ない。妙楽寺入り口左に3基祀られているうち、一番左。,★★★★☆,myoraku_temple_suijingu.jpg,,,,,,,b
沖天神社境内の水神宮碑,35.824863,139.641573,water,-,高さ62cm 幅19cm 厚12cm,戸田市美女木3-18-7　沖天神社境内,あじさいが横にあり右側面判別できない、左側面風化,"35.824863, 139.641573",2025年5月13日,状態悪い、早急に対策必要。状態の評価は付けることができない。正面文字も「水」のみ確認できる程度,☆☆☆☆☆,chuten_shrine_suijingu.jpg,,,,,,,c
美女八幡社境内の水神宮碑,35.825208,139.636828,water,1910年,高さ72cm 幅59cm 厚14cm,戸田市美女木7-9-1　美女木八幡社境内,明治四十三年二月,"35.825208, 139.636828",2025年5月13日,濃くはっきりとした地衣類が正面に付着。正面上部、左右に剥落あり。,★★★☆☆,bijyo_hachiman_shrine_suijingu.jpg,,,,,,,c
山王神社境内の水神宮碑,35.829192,139.638172,water,1862年,高さ67cm 幅32cm 厚19cm,戸田市美女木1-23-15　山王神社境内,文久二壬戌年□月吉日,"35.829192, 139.638172",2025年5月13日,文久二壬戌年八月吉日と刻まれているはずだが、「八」の箇所は削り取られたかのように判別不能。左側裏面欠けあり。,★★☆☆☆,sanno_shrine_suijingu.jpg,,,,,,,c
早瀬浅間社境内の水神宮碑,35.803412,139.645528,water,1812年,高さ49.5cm 幅16cm 厚17cm,戸田市笹目8-14-7　早瀬浅間神社境内,(右)文化九壬申年六月吉日立 (台座)　講中,"35.803412, 139.645528",2025年5月13日,地衣類が表面より下の層に浸透しているかのように見える。笠部に欠けあり。,★★☆☆☆,hayase_sengen_shrine_suijingu.jpg,,,,,,,c
戸田川岸水神社の水神宮・船玉大明神,35.801862,139.686475,water,1796年,高さ150cm 幅115cm 厚16cm,戸田市川岸1-7-7,寛政八年(境内説明板より),"35.801862, 139.686475",2025年5月15日,今回の調査中、一番剥落が激しく多かった。早急に対策必要、評価不可。近くには天正年中(1575年~)からあったという戸田の渡しがあった。7月に水神祭。,☆☆☆☆☆,toda_suijingu_hunadama.jpg,,,,,,,c
戸田川岸水神社の水神宮・大杉大神,35.801983,139.686553,water,1890年,高さ42cm 幅25cm 厚19cm,戸田市川岸1-7-7,(右)明治二十三年九月之建　永井勘次郎,"35.801983, 139.686553",2025年5月15日,右上部欠けあり。樹木に隠れていて近づくことができない。,★★★☆☆,toda_osugiokami_suijingu_monument.jpg,,,,,,,c
舟渡氷川神社の十度ノ宮,35.79523,139.69057,water,1659年,高さcm 幅cm 厚cm,舟渡二丁目18番1号（舟渡氷川神社境内）,(右面)万治二巳己亥 (西南)奉修造立氷川大明神御宝前 (左面)寛保三癸亥年十二月造立武州豊島郡蓮沼村別当金剛院,"35.79523, 139.69057",2025年5月15日,「このお宮は、昔から蓮沼村の西南にあったが、何度もの洪水で押流(おしなが)されて、今の場所に流寄(ながれよ)せられることが十度にも及んだので、ここに塚を築き、榎(えのき)を植えて神社とした。地域の人は今でも「十度ノ宮」と呼んでいる」,★★★★★,jyudo_no_miya.jpg,,,,,,,c
